Gene	JXQ-3D-1279R1	JXQ-3D-1279R2	JXQ-3D-1279R3	JXQ-3D-1279R4	JXQ-3D-1279R5	JXQ-3D-1279R6	JXQ-3D-1279R7	JXQ-3D-1279R8	JXQ-3D-1279R9	JXQ-3D-1405R1	JXQ-3D-1405R2	JXQ-3D-1405R3	JXQ-3D-1405R4	JXQ-3D-1436R1	JXQ-3D-1436R2	JXQ-3D-1436R3	JXQ-3D-1436R4	JXQ-3D-1436R5	JXQ-3D-1436R6	JXQ-3D-4160R1	JXQ-3D-4160R2	JXQ-3D-4160R3	JXQ-3D-4256R1	JXQ-3D-4256R2	JXQ-3D-4256R3	JXQ-3D-668R1	JXQ-3D-668R2	JXQ-3D-668R3	JXQ-3D-668R4	JXQ-3D-902R1	JXQ-3D-902R2	JXQ-3D-902R3	JXQ-3D-902R4	JXQ-3D-902R5	JXQ-3D-902R6	JXQ-3D-902R7	JXQ-3D-902R8	JXQ-3D-902R9
H19	-0.386	0.8298	-4.3065	-2.517	0.9257	-2.5975	-2.5314	4.4635	-3.4164	9.957	5.6419	11.7097	9.6291	-3.0872	-3.1867	-3.5158	-3.5445	-5.0222	-4.2354	2.483	1.2795	-1.3854	5.1153	9.7863	8.4242	-0.505	-0.1202	-2.5484	10.1372	0.8984	0.0306	-1.0852	-6.6439	-0.5702	-1.7136	-1.582	-3.1038	-3.3316
FXYD3	0.5745	-6.6439	-6.6439	-6.6439	4.2887	-6.6439	-3.968	4.8603	-5.0231	7.6784	6.7145	7.0307	5.6794	-3.0975	-6.6439	-6.6439	-4.3942	-6.6439	-4.9941	4.0047	3.1851	2.6549	3.1069	3.4506	3.5406	-4.939	-4.9525	-6.6439	4.9798	-5.0215	-3.0295	-5.0841	-4.2119	-5.0613	-4.2708	-5.7231	0.3986	-2.8063
TSPAN7	5.703	6.8738	4.9965	6.5006	6.1726	4.6144	6.3565	4.4447	6.7657	-4.1399	-1.0447	-3.7755	-1.1768	3.4796	3.275	4.3199	2.1334	3.821	3.1853	-6.6439	-6.6439	-6.6439	-0.817	-1.5369	-1.3563	-0.497	2.4693	2.1012	-3.3557	-6.6439	-5.5637	-6.6439	-4.7062	-6.6439	-6.6439	-4.9212	-4.7495	-6.6439
CLDN6	-3.6996	-6.6439	-4.5016	-3.6553	-2.8372	-3.5612	-5.3074	-3.0554	-3.6354	7.8878	7.3225	6.6933	8.1971	-6.6439	-4.5184	-3.7328	-4.5775	-3.644	-3.0723	-4.5282	-6.6439	-4.6473	7.3458	7.8043	7.782	-6.6439	-6.6439	-4.5099	-4.365	-3.6333	-4.2091	-3.7151	-4.4014	-3.6851	-2.7184	-4.6321	-6.6439	-6.6439
HLA-DQB1	-2.8991	-6.6439	-6.6439	-6.6439	-3.4702	-2.0548	-2.4281	-6.6439	-2.6892	6.5665	7.5228	7.0629	5.6262	-6.6439	-4.2782	-6.6439	-4.7859	-6.6439	-4.6481	-6.6439	1.5251	-0.2394	-5.467	-0.89	-1.9203	-6.6439	-2.7345	-6.6439	-6.6439	4.3366	3.9943	-6.6439	4.8379	-6.6439	3.8567	1.9208	4.853	3.6251
LDOC1	4.8791	-1.8352	-3.6841	0.197	0.1032	4.0228	3.1511	3.9864	4.8426	-6.6439	-6.6439	-2.5149	-3.6697	-6.6439	-4.5265	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	3.055	3.405	2.9753	5.3561	5.052	4.4604	6.1718	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-5.3189	-6.6439	-4.4005
DDX3Y	1.2812	4.1739	-6.6439	3.9905	-6.6439	3.2518	1.437	1.4821	3.4592	3.7051	-5.5371	3.3985	-6.6439	4.2943	4.0903	3.5727	4.5606	4.2455	3.9312	-6.0819	-5.6508	-6.6439	-6.6439	-6.6439	-5.5717	-6.6439	-6.6439	-5.0897	3.0926	-6.6439	-6.1383	-6.6439	-6.0274	-5.6673	-6.6439	-6.1246	-6.6439	-6.6439
GRHL2	0.0698	-6.6439	-5.7219	-6.6439	4.6805	-6.6439	-3.9225	4.5785	-4.7295	4.0946	3.1324	3.4908	4.2487	-5.6801	-6.6439	-5.2062	-5.7678	-6.6439	-5.6797	4.0616	4.717	5.2359	4.6041	5.0307	5.0153	-5.64	-6.6439	-5.727	5.436	-5.6992	-3.6925	-6.6439	-4.3478	-5.1714	-4.4054	-6.6439	0.3895	-5.0727
ERP27	0.2686	-3.8221	-4.6275	-3.7984	5.7802	-3.4219	-3.073	5.1816	-3.059	5.496	5.2911	6.7716	4.9932	-4.5613	-6.6439	-6.6439	-2.258	-6.6439	-6.6439	0.0088	0.4707	0.9979	4.6862	4.6187	5.5523	-6.6439	-6.6439	-6.6439	3.9096	-6.6439	-4.3421	-6.6439	-6.6439	-6.6439	-6.6439	-4.3055	-6.6439	-4.5209
COL8A1	5.6461	5.506	5.8004	5.4576	2.6661	4.9516	4.9925	3.9356	5.2174	2.2972	0.983	0.2823	-0.5426	6.0137	5.6523	5.0686	5.3317	4.9955	4.8778	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-3.8432	4.1569	3.9278	5.1468	-1.0689	-3.9529	-2.147	-6.6439	-5.0962	-5.1866	-5.1435	-3.3237	-4.4134	-2.6856
DEFB1	-6.6439	-6.6439	-6.6439	-6.6439	-0.5504	-6.6439	-6.6439	-2.1357	-6.6439	2.9123	7.2363	6.2191	3.531	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	2.1212	-0.2679	0.4193	1.0666	-3.0738	-1.0992	-6.6439	-6.6439	-6.6439	-3.0115	1.39	4.5114	-6.6439	2.8455	-6.6439	-6.6439	-6.6439	8.0015	3.5066
CPVL	-4.8045	-6.6439	-6.6439	-4.7677	-6.6439	1.6402	-6.6439	-6.6439	-6.6439	2.0933	-1.7867	2.2035	-1.7245	3.6865	3.4396	2.4586	3.3259	3.0266	2.8439	3.7956	4.5206	2.6912	6.345	6.9089	6.5942	-6.6439	-3.8719	-6.6439	1.8059	-6.6439	-2.7236	-6.6439	-6.6439	-2.0305	-6.6439	-5.5277	-6.6439	-6.6439
FAR1	4.2342	4.0637	4.1115	4.2506	4.671	4.6023	4.2719	4.4455	4.5669	-3.3513	-3.4129	-1.3019	-3.78	-2.3333	-6.6439	-5.7587	-5.7736	-6.6439	-5.1151	5.345	5.6291	5.5912	-6.6439	-4.1144	-4.1817	-5.0622	-6.6439	-6.6439	-6.6439	-4.737	-6.6439	-5.7494	-5.0888	-6.6439	-5.1363	-6.1648	-6.6439	-6.6439
CDKN2A	6.6785	6.6817	6.2271	6.4219	5.7239	5.7999	6.2782	6.1043	5.9679	5.9459	5.6435	5.071	6.2675	-3.6126	-4.2016	-4.9886	-3.7748	-3.658	-4.8813	7.5195	5.6521	5.5583	5.3704	4.8751	5.0696	-4.0447	-6.6439	-4.9503	-4.82	6.185	6.6369	7.2058	6.3078	7.2386	6.5367	6.3775	6.8886	6.3256
S100P	-2.3967	-6.6439	-6.6439	-6.6439	2.3045	-2.2467	-6.6439	6.9409	-6.6439	7.4791	7.7367	8.4612	6.3565	-1.7257	-6.6439	-3.357	-6.6439	-0.5819	-6.6439	1.9151	1.0416	1.0695	4.5419	0.257	3.955	-6.6439	-6.6439	-3.307	3.6176	-0.38	2.0814	-3.3387	-0.7096	-6.6439	-1.0391	0.0963	3.6845	0.4048
KRT19	10.0297	10.0354	9.4981	9.7787	11.3529	9.9678	9.5609	11.6572	9.9575	10.4399	10.1395	9.1624	10.2564	2.2904	-1.9401	-1.4172	-2.0142	-0.0177	-1.3264	11.1708	11.2439	10.8376	10.8944	8.9652	9.4478	-1.4448	-0.9897	-1.9295	11.8756	8.9106	9.3354	9.0451	9.2261	7.0723	9.0124	8.713	10.7805	9.1892
LCN2	1.9384	-0.9422	-0.5292	0.7036	6.8827	-1.1654	1.3373	8.9745	-1.3521	10.3117	11.6494	11.456	9.5297	0.8428	1.8471	1.6733	0.9631	0.4346	1.089	9.6181	10.1852	8.9364	-1.1717	-1.1882	-0.845	-1.6006	-1.9303	-0.7987	7.5275	7.4945	10.0212	1.6688	9.6303	0.5635	8.47	7.719	10.4288	9.0507
WNT7A	0.248	-6.6439	-6.6439	-4.7284	3.7053	-4.6489	-6.6439	4.3673	-6.6439	3.7549	4.4426	2.7238	5.1088	-1.8086	1.5886	-2.1942	-6.6439	2.0915	1.5416	-3.9818	-6.6439	-6.6439	4.9332	4.5627	3.5313	-6.6439	-4.6346	-6.6439	-1.2851	2.6261	4.9277	5.1215	5.2891	2.9472	4.8025	4.9194	5.8159	5.2964
ESRP1	1.7094	-5.4901	-5.4874	-4.8378	6.7796	-3.6946	-3.5251	6.1263	-3.7678	5.2776	4.6848	4.8835	5.1977	-0.0837	-0.5652	0.6518	-4.9234	0.4414	0.0043	6.1577	6.582	6.6243	6.128	6.21	6.0528	-1.3591	-1.8948	-0.7184	5.7581	-5.4609	-6.0315	-3.8464	-4.7616	-5.4938	-5.4565	-6.0155	0.243	-6.6439
VIM	12.1993	11.7348	11.6357	11.6488	8.2664	12.1428	12.3783	7.5109	12.149	0.0799	0.5204	-3.1007	2.8095	11.6306	11.9429	11.879	11.915	12.0184	11.7889	8.3731	8.6359	9.3263	0.273	-0.5275	0.8217	11.8823	10.6503	10.723	-0.5362	5.1407	3.5729	5.2431	4.3592	5.6986	4.2008	4.272	3.2496	4.3984
LAD1	1.3669	-4.0767	-4.541	-6.6439	5.7146	-3.1956	-2.2103	6.4171	-4.0348	5.986	6.1189	5.2412	6.3889	-1.8752	-6.6439	-5.2801	-4.6163	-5.2169	-3.9989	5.2437	5.517	5.2413	4.5666	4.154	4.8246	-6.6439	-4.4255	-5.2458	5.9383	2.48	2.8397	-3.4772	2.2631	-4.5499	-1.1906	-2.7464	6.1409	2.364
POPDC3	4.8937	5.043	4.4622	4.7688	3.8411	5.1835	4.6724	3.4491	4.8932	0.4864	1.649	1.1529	1.0973	3.9874	4.0913	3.7622	3.2157	4.5801	3.9583	-4.8826	-6.6439	-6.6439	2.4477	0.3504	-0.6296	4.4523	4.7315	4.1185	1.9652	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-4.8087	-6.6439
LY6D	-6.6439	-6.6439	-6.6439	-6.6439	3.956	-6.6439	-6.6439	3.143	-3.8326	5.3739	4.6915	2.5255	6.2927	-1.1721	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	5.2391	7.4627	4.606	-3.1248	-6.6439	-2.5161	-1.1975	-4.5621	-3.8806	3.169	-3.8306	0.0196	-6.6439	-1.605	-6.6439	-6.6439	-6.6439	1.4506	-2.5507
CGB5	5.2194	6.07	4.7557	5.8939	6.0267	4.8156	8.8094	4.9649	4.6452	-0.8959	-3.7788	-6.6439	-0.2003	7.983	6.5586	7.8326	7.2073	7.2602	8.5212	-3.5088	-3.9666	-3.2777	1.4224	-3.0063	-3.8348	-0.7194	-1.4596	0.7187	10.5922	7.4842	6.4014	8.9195	3.6305	0.1257	8.5359	8.1185	6.5483	7.132
LINC00942	6.8834	5.9922	7.1107	6.3445	7.5399	5.4782	6.4934	6.1569	6.5197	-4.3927	-4.851	-6.6439	-3.4058	-4.9592	-4.2914	-6.6439	-5.0849	-4.9947	-4.9586	-3.4514	-6.6439	-5.1452	-5.1228	-4.946	-3.2619	-4.9029	-4.9165	1.6811	-3.2641	-1.7327	-3.5357	0.2646	-1.8783	0.2241	-1.7777	-2.2266	-3.0667	-2.206
MYH14	0.5428	-4.0449	-4.7535	-5.396	4.8786	-4.9562	-3.9564	6.0737	-5.8797	6.4302	5.9324	6.1578	5.9094	-6.6439	-5.0589	-5.9246	-5.1099	-4.7275	-5.8619	2.0146	3.6247	3.7841	5.1154	4.2659	5.0276	-0.4794	-2.4535	-1.9895	4.7962	-4.7186	-4.6762	-5.4353	-5.3339	-5.0521	-4.4685	-5.9648	-1.2093	-4.4024
CBLC	0.4026	-3.8656	-4.6655	-3.3277	5.3945	-6.6439	0.4043	6.0364	-6.6439	5.8007	5.637	6.1305	5.4383	-4.5999	-6.6439	-4.7148	-6.6439	-4.639	-6.6439	4.2652	4.0793	4.3399	4.2419	3.6417	4.1105	-6.6439	-6.6439	-6.6439	4.335	-2.9262	0.8976	-3.0126	-0.7651	-3.8712	2.9296	1.8245	2.2084	-0.0747
